,clstr_id,samp_id,tsa_no,mgmt_unit,species_class,meas_dt,utm_zone,utm_easting,utm_northing,bcalb_x,bcalb_y,elev,baf_pm,baha_L,stemsha_L,wsvha_L,nmvha_L,lead_si,lead_htop,bh_stand_age,tot_stand_age
48,0403-0019-DO1,0403_0019_VRI,40,TSA40_FortSt.John,Poplar,2008-10-07,10,675173,6361080,1354929.046,1389282.318,807,6.25,2.5,78.14068482,20.64606335,17.36073859,18.13098958,17.43333333,48,52.28340035
49,0403-0022-DO1,0403_0022_VRI,40,TSA40_FortSt.John,Poplar,2008-09-18,10,627307,6462332,1303004.224,1488605.043,434,9,32.4,485.5980676,361.1330976,305.8147273,25.47397461,32.875,91.5,94.35705587
50,0403-0022-DO1,0403_0022_VRI,40,TSA40_FortSt.John,Poplar,2008-09-18,10,627307,6462332,1303004.224,1488605.043,434,9,32.4,485.5980676,361.1330976,305.8147273,25.47397461,32.875,91.5,94.35705587
51,0403-0022-DO1,0403_0022_VRI,40,TSA40_FortSt.John,Poplar,2008-09-18,10,627307,6462332,1303004.224,1488605.043,434,9,32.4,485.5980676,361.1330976,305.8147273,25.47397461,32.875,91.5,94.35705587
52,0403-0022-DO1,0403_0022_VRI,40,TSA40_FortSt.John,Poplar,2008-09-18,10,627307,6462332,1303004.224,1488605.043,434,9,30.6,379.5389617,349.1777702,297.908225,25.47397461,32.875,91.5,94.35705587
53,0403-0024-DO1,0403_0024_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,578592,6269161,1262390.001,1293293.882,711,5.06,37.10666667,4472.848381,197.317619,78.5355427,16.45087891,15.8,44.19901316,49.39960756
54,0403-0024-DO1,0403_0024_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,578592,6269161,1262390.001,1293293.882,711,5.06,30.36,2427.750067,172.4041413,78.5355427,16.45087891,15.8,44.19901316,49.39960756
55,0403-0024-DO1,0403_0024_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,578592,6269161,1262390.001,1293293.882,711,5.06,18.55333333,1019.756408,108.0159948,71.53073415,16.45087891,15.8,44.19901316,49.39960756
56,0403-0024-DO1,0403_0024_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,578592,6269161,1262390.001,1293293.882,711,5.06,5.06,147.6947768,29.63680321,24.25699725,16.45087891,15.8,44.19901316,49.39960756
57,0403-0025-DO1,0403_0025_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,585956,6289574,1268879.469,1314042.342,809,7,46.2,1250.337275,353.2734914,284.9419558,18.12871094,20.2,74.68262472,84.34965578
58,0403-0025-DO1,0403_0025_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,585956,6289574,1268879.469,1314042.342,809,7,46.2,1250.337275,353.2734914,284.9419558,18.12871094,20.2,74.68262472,84.34965578
59,0403-0025-DO1,0403_0025_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,585956,6289574,1268879.469,1314042.342,809,7,44.8,1122.318358,346.5276825,282.5046486,18.12871094,20.2,74.68262472,84.34965578
60,0403-0025-DO1,0403_0025_VRI,40,TSA40_FortSt.John,Poplar,2008-10-09,10,585956,6289574,1268879.469,1314042.342,809,7,37.8,740.4814135,306.973059,255.5572788,18.12871094,20.2,74.68262472,84.34965578
61,0403-0026-DO1,0403_0026_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,661674,6305857,1343730.58,1333465.255,727,5.06,8.096,142.5807958,50.9434544,44.17303567,20.53076172,19.4,46.5,51.44434896
62,0403-0026-DO1,0403_0026_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,661674,6305857,1343730.58,1333465.255,727,5.06,8.096,142.5807958,50.9434544,44.17303567,20.53076172,19.4,46.5,51.44434896
63,0403-0026-DO1,0403_0026_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,661674,6305857,1343730.58,1333465.255,727,5.06,8.096,142.5807958,50.9434544,44.17303567,20.53076172,19.4,46.5,51.44434896
64,0403-0026-DO1,0403_0026_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,661674,6305857,1343730.58,1333465.255,727,5.06,8.096,142.5807958,50.9434544,44.17303567,20.53076172,19.4,46.5,51.44434896
65,0403-0027-DO1,0403_0027_VRI,40,TSA40_FortSt.John,Poplar,2008-09-27,10,532821,6271798,1216624.74,1294019.739,801,7,49,6430.363347,266.2856619,98.95049229,16.90070313,17.94,52.83576898,57.79089286
66,0403-0027-DO1,0403_0027_VRI,40,TSA40_FortSt.John,Poplar,2008-09-27,10,532821,6271798,1216624.74,1294019.739,801,7,43.4,4158.38328,245.3162587,98.95049229,16.90070313,17.94,52.83576898,57.79089286
67,0403-0027-DO1,0403_0027_VRI,40,TSA40_FortSt.John,Poplar,2008-09-27,10,532821,6271798,1216624.74,1294019.739,801,7,19.6,984.1889064,123.1486487,84.38579929,16.90070313,17.94,52.83576898,57.79089286
68,0403-0027-DO1,0403_0027_VRI,40,TSA40_FortSt.John,Poplar,2008-09-27,10,532821,6271798,1216624.74,1294019.739,801,7,7,221.8190114,47.59798285,38.72073911,16.90070313,17.94,52.83576898,57.79089286
69,0403-0029-DO1,0403_0029_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,541732,6295169,1224527.249,1317798.678,876,9,32.4,1222.546732,289.1396773,238.4240628,16.06017578,23.7,99.34566284,104.0309754
70,0403-0029-DO1,0403_0029_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,541732,6295169,1224527.249,1317798.678,876,9,30.6,541.2651565,283.8941457,238.4240628,16.06017578,23.7,99.34566284,104.0309754
71,0403-0029-DO1,0403_0029_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,541732,6295169,1224527.249,1317798.678,876,9,30.6,541.2651565,283.8941457,238.4240628,16.06017578,23.7,99.34566284,104.0309754
72,0403-0029-DO1,0403_0029_VRI,40,TSA40_FortSt.John,Poplar,2008-10-10,10,541732,6295169,1224527.249,1317798.678,876,9,28.8,433.7482105,270.1690513,229.271118,16.06017578,23.7,99.34566284,104.0309754
73,0403-0030-DO1,0403_0030_VRI,40,TSA40_FortSt.John,Poplar,2008-10-05,10,523128,6304756,1205561.826,1326616.798,997,5.06,9.108,335.2247905,62.88823336,49.39784806,17.61181641,16.5,45,48.52043913
74,0403-0030-DO1,0403_0030_VRI,40,TSA40_FortSt.John,Poplar,2008-10-05,10,523128,6304756,1205561.826,1326616.798,997,5.06,9.108,335.2247905,62.88823336,49.39784806,17.61181641,16.5,45,48.52043913
75,0403-0030-DO1,0403_0030_VRI,40,TSA40_FortSt.John,Poplar,2008-10-05,10,523128,6304756,1205561.826,1326616.798,997,5.06,9.108,335.2247905,62.88823336,49.39784806,17.61181641,16.5,45,48.52043913
76,0403-0030-DO1,0403_0030_VRI,40,TSA40_FortSt.John,Poplar,2008-10-05,10,523128,6304756,1205561.826,1326616.798,997,5.06,7.084,221.4946112,50.00332601,40.7421042,17.61181641,16.5,45,48.52043913
77,0403-0031-DO1,0403_0031_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,509075,6349227,1189656.433,1370545.853,947,7,30.8,3613.310614,143.2894432,69.23245679,12.66003906,13.82,62.83517763,67.27553981
78,0403-0031-DO1,0403_0031_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,509075,6349227,1189656.433,1370545.853,947,7,28,1999.426148,137.1680972,69.23245679,12.66003906,13.82,62.83517763,67.27553981
79,0403-0031-DO1,0403_0031_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,509075,6349227,1189656.433,1370545.853,947,7,18.2,853.4986794,94.55909477,64.98726618,12.66003906,13.82,62.83517763,67.27553981
80,0403-0031-DO1,0403_0031_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,509075,6349227,1189656.433,1370545.853,947,7,7,163.7678297,41.259854,34.13164153,12.66003906,13.82,62.83517763,67.27553981
81,0403-0033-DO1,0403_0033_VRI,40,TSA40_FortSt.John,Poplar,2008-10-08,10,471556,6368450,1151390.089,1388193.733,1320,9,21.6,841.4409369,130.986579,93.35781187,9.96003418,13.425,73.66666667,77.10810891
