PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59330144,British Columbia,594,1,-0.898,3,-0.360,2,-0.589,3,-0.455
59330145,British Columbia,325,1,-0.944,3,-0.207,2,-0.510,2,-0.556
59330146,British Columbia,1044,2,-0.588,1,-0.662,2,-0.416,3,-0.416
59330147,British Columbia,555,2,-0.771,3,-0.350,1,-1.238,1,-1.016
59330148,British Columbia,542,1,-0.828,1,-0.688,1,-0.961,1,-0.778
59330149,British Columbia,1895,1,-0.821,1,-1.092,1,-1.112,1,-0.772
59330150,British Columbia,299,1,-0.957,2,-0.525,1,-0.997,2,-0.513
59330151,British Columbia,977,1,-0.816,2,-0.592,1,-0.790,2,-0.552
59330152,British Columbia,1106,1,-0.796,3,-0.206,3,-0.305,1,-0.840
59330153,British Columbia,482,1,-0.789,3,-0.357,3,0.015,1,-0.956
59330154,British Columbia,536,2,-0.665,2,-0.570,2,-0.528,1,-1.121
59330155,British Columbia,554,1,-0.890,2,-0.409,4,0.066,2,-0.646
59330156,British Columbia,1123,1,-0.960,1,-0.796,3,-0.205,1,-0.770
59330157,British Columbia,625,1,-0.981,3,-0.299,2,-0.417,2,-0.571
59330158,British Columbia,429,2,-0.760,3,-0.335,3,-0.023,1,-1.066
59330159,British Columbia,345,3,-0.418,3,-0.288,2,-0.523,1,-1.060
59330166,British Columbia,958,1,-0.843,1,-0.730,5,1.112,1,-0.935
59330167,British Columbia,578,1,-0.799,4,0.153,1,-1.000,2,-0.734
59330168,British Columbia,1016,1,-0.893,3,-0.202,3,-0.131,2,-0.658
59330170,British Columbia,557,1,-0.885,2,-0.564,2,-0.373,1,-0.778
59330171,British Columbia,558,1,-0.922,1,-0.731,3,-0.133,1,-1.258
59330172,British Columbia,838,1,-0.883,2,-0.397,4,0.089,2,-0.585
59330173,British Columbia,1419,1,-0.857,4,0.114,2,-0.576,3,-0.465
59330174,British Columbia,709,2,-0.594,1,-0.623,2,-0.604,3,-0.202
59330175,British Columbia,934,1,-0.968,3,-0.359,3,-0.071,2,-0.585
59330176,British Columbia,330,1,-0.954,2,-0.458,3,-0.104,3,-0.362
59330177,British Columbia,420,1,-0.993,4,0.130,5,1.759,3,-0.436
59330312,British Columbia,1335,3,-0.543,2,-0.616,3,-0.335,3,-0.233
59330313,British Columbia,491,2,-0.748,2,-0.437,5,0.797,1,-0.989
59330318,British Columbia,1363,2,-0.719,1,-0.672,1,-1.014,3,-0.286
59330319,British Columbia,834,2,-0.726,2,-0.506,2,-0.539,1,-0.786
59330320,British Columbia,1161,1,-0.788,4,-0.061,4,0.336,4,0.345
59330323,British Columbia,1747,3,-0.465,2,-0.433,3,-0.180,5,0.925
59331449,British Columbia,1209,3,-0.334,4,-0.040,4,0.068,5,1.533
59331450,British Columbia,61,2,-0.575,5,4.987,4,0.141,3,-0.170
59331451,British Columbia,286,1,-0.855,5,0.755,5,0.605,2,-0.605
59331454,British Columbia,629,1,-0.856,5,0.708,5,1.220,3,-0.338
59331455,British Columbia,408,1,-0.956,4,0.183,5,2.786,3,-0.257
59331457,British Columbia,311,1,-0.839,4,0.001,5,1.462,1,-0.800
59331459,British Columbia,540,1,-0.944,4,-0.023,5,2.329,3,-0.374
59331462,British Columbia,370,1,-0.890,4,0.151,5,1.517,3,-0.212
59331463,British Columbia,483,1,-0.781,4,0.127,5,1.007,1,-0.909
59331464,British Columbia,344,1,-0.815,3,-0.142,5,0.853,4,0.038
59331466,British Columbia,69,1,-0.873,5,3.124,3,-0.006,2,-0.691
59331467,British Columbia,53,3,-0.550,4,0.176,5,0.816,5,2.432
59331468,British Columbia,326,2,-0.609,5,0.362,5,2.166,2,-0.581
59331469,British Columbia,317,2,-0.711,3,-0.152,5,0.907,3,-0.460
59331474,British Columbia,121,1,-1.207,5,2.439,4,0.182,1,-1.034
59331475,British Columbia,84,1,-0.905,5,2.900,3,-0.298,3,-0.191
59331477,British Columbia,376,1,-0.833,5,0.591,5,1.258,4,0.082
59331478,British Columbia,621,2,-0.579,3,-0.223,5,0.572,3,-0.403
59331486,British Columbia,464,1,-0.839,2,-0.575,5,0.792,2,-0.614
59331487,British Columbia,575,1,-0.983,2,-0.455,5,1.574,1,-0.863
59331488,British Columbia,431,1,-0.799,5,0.901,5,1.340,4,0.452
59331489,British Columbia,518,1,-0.830,3,-0.252,5,1.486,2,-0.661
59331490,British Columbia,612,1,-0.844,3,-0.208,5,1.168,1,-0.881
59331491,British Columbia,667,1,-0.814,1,-0.669,2,-0.648,2,-0.494
59331492,British Columbia,293,1,-0.863,4,0.116,5,1.126,3,-0.249
59331493,British Columbia,293,1,-1.049,5,3.009,4,0.202,2,-0.720
59331494,British Columbia,590,1,-0.835,4,-0.021,4,0.345,1,-0.950
59331495,British Columbia,59,1,-1.110,5,1.754,1,-1.490,3,-0.217
59331496,British Columbia,329,1,-0.828,2,-0.426,5,1.126,2,-0.714
59331497,British Columbia,702,1,-0.974,2,-0.569,1,-1.000,1,-0.761
59331498,British Columbia,418,1,-0.971,2,-0.391,1,-0.744,1,-0.850
59331499,British Columbia,627,1,-0.816,2,-0.464,4,0.269,1,-1.152
59331500,British Columbia,407,1,-0.942,4,-0.066,3,-0.094,1,-0.907
59331501,British Columbia,660,1,-1.020,5,2.199,3,-0.292,3,-0.384
59331504,British Columbia,525,1,-0.804,3,-0.216,3,-0.044,2,-0.682
59331506,British Columbia,395,1,-0.895,2,-0.501,4,0.391,1,-1.001
